group_id,group_name,post_id,comment_text
-50536362,hodimvmore,542263,"[id89019574|Никита], там балкер на фото, а не какой- нибудь скр.кстати, странно, что нас одинаково кличут. Моряки обычно побывали в 30-50 странах, сотни портов. , а не прячутся в базах."
-50536362,hodimvmore,542263,"[id76892961|Ergey], я вижу что это балкер, дальше-то что вы хотите увидеть?"
-50536362,hodimvmore,542263,"[id89019574|Никита], ни как не пойму, почему вы так за вмф? Вы же элита. Моряк - загранщик. Весь мир повидали."
-50536362,hodimvmore,542263,"Не дверь, а броняшка)"
-50536362,hodimvmore,542263,"Не рапорт, а рапоорт"
-50536362,hodimvmore,542263,"Не дырка, а клюз:)"
-50536362,hodimvmore,542263,"Не крюк, а шкентель"
-50536362,hodimvmore,542263,"[id306031173|Жека], шкентель - это веревка, трос."
-50536362,hodimvmore,542263,Не пароход а теплоход
-50536362,hodimvmore,542263,"[id244884572|Алексей], на ДВ на рыбаках все суда называют пароходами"
-50536362,hodimvmore,542263,"[id383448908|Анатолий], в судоремонте гражданские суда - пароходы - это общепринятое выражение."
-50536362,hodimvmore,542263,"Не кОмпас, а компАс"
-50536362,hodimvmore,542263,"Не компас, а компаас"
-50536362,hodimvmore,542263,"Не турчанка, а турачка:)"
-50536362,hodimvmore,542263,"Не забор, а фальш-борт:)"
-50536362,hodimvmore,542263,"Не поручни, а леера:)"
-50536362,hodimvmore,542263,"[id306031173|Жека], поручни - это и есть поручни, а не перила. Леер - это ограждение."
-50536362,hodimvmore,542263,"Не дракон, а боцман."
-50536362,hodimvmore,542263,"Не верно, выражение «корабль» есть это по факту военное судно так называют. 
«Пароход» тоже не верно, судно. 
Пароходы сейчас практически выведены из эксплуатации."
-50536362,hodimvmore,542263,"[id671337779|Никита], судно в госпитале будут подавать )
Так старпом мой говорил ещё давным давно.
По-английски слово ""ship"" означает ""корабль"", что военного, что гражданского назначения.
В разных странах по разному."
-50536362,hodimvmore,542263,"[id671337779|Никита], насчет пароходов точно сказать не могу, а паровой кран точно один ещё в эксплуатации"
-50536362,hodimvmore,542263,"[id671337779|Никита], тем не менее пароходства существуют, несмотря на отсутствие пара для хода"
-50536362,hodimvmore,542263,"[id540337117|Александр], не в госпитале, а в больнице. При чем для душевно больных, типа вашего старпома)   Для госпиталя надо быть военным как минимум, как и корабль - судно военного назначения. 
Vessel 🚢 судно
Ship  корабль
это греческое слово вообще"
-50536362,hodimvmore,542263,"[id51908497|Роман], разницы никакой, где лежат с судном - хоть в госпитале, хоть в больнице, учите лучше матчасть.
Старпом уже больше 40 лет в море, теперь капитан, служил в ВМФ, здоровье и опыт - дай Бог каждому.
Так что поосторожнее в оценках! 😉
Повторюсь, ""Ship"" - так называют и военные корабли, и гражданские, в англоязычной разговорной практике, в литературе, и, в том числе, по радиосвязи. Слово ""Vessel"" на практике я слышал нечасто, в основном фигурирует сокращение перед названием m/v - motor vessel в морских документах, но чаще ""ship"", производное - ""shipping"" - судоходство.
Есть ещё сокращение в торговом флоте ""SS"" - ""screw steam ship"", ""screw steamer"""
-50536362,hodimvmore,542263,"[id540337117|Александр], …служил в ВМФ… дальше можно было не продолжать, видели, знаем этих товарищей 
🤣🤣🤣"
-50536362,hodimvmore,542263,"[id51908497|Роман], нормальные товарищи 💪⚓😁"
-50536362,hodimvmore,542263,"[id671337779|Никита], да ладно! Паровая турбина генератор мотор вал винт"
-50536362,hodimvmore,542263,"[id671337779|Никита], и все-таки Пароход"
-50536362,hodimvmore,542263,"[id671337779|Никита], всегда в нашей стране о гражданских судах говорили -"" ПАРОХОД "" ,а военные суда называли -"" КОРОБОЧКА "" . Не стоит ломать традиции ."
-50536362,hodimvmore,542263,"Не пост , а попытка накрутить комменты 😁"
